# area temp RH wind
0.36 18 42 2.7
0.43 21.7 38 2.2
0.47 21.9 39 1.8
0.55 23.3 31 4.5
0.61 21.2 51 8.9
0.71 16.6 53 5.4
0.77 23.8 32 5.4
0.9 27.4 22 4
0.95 13.2 40 5.4
0.96 24.2 28 3.6
1.07 17.4 43 6.7
1.12 23.7 25 4.5
1.19 23.2 39 5.4
1.36 24.8 29 2.2
1.43 24.6 43 1.8
1.46 20.1 47 4.9
1.46 29.6 27 2.7
1.56 16.4 47 1.3
1.61 28.6 27 2.2
1.63 18.4 45 3.6
1.64 20.5 35 4
1.69 19 34 5.8
1.75 16.1 29 3.1
1.9 20.3 41 4
1.94 15.2 31 8.5
1.95 17.8 56 1.8
2.01 17.8 67 2.2
2.14 5.3 70 4.5
2.29 16.6 47 0.9
2.51 23.4 33 4.5
2.53 14.6 26 9.4
2.55 20.7 45 2.2
2.57 21.9 35 1.8
2.69 17.4 50 4
2.74 20.1 39 5.4
3.07 17.7 39 2.2
3.5 14.2 53 1.8
4.53 20.3 39 4.9
4.61 5.8 54 5.8
4.69 19.2 44 2.7
4.88 18.3 45 2.2
5.23 14.4 66 5.4
5.33 23.9 32 6.7
5.44 19.1 32 4
6.38 12.4 53 2.2
6.83 16.8 45 4.5
6.96 20.8 34 4.9
7.04 17.6 46 3.1
7.19 11.5 39 5.8
7.3 21 42 2.2
7.4 13.3 42 0.9
8.24 11.5 60 4
8.31 11.7 33 4
8.68 24.2 28 2.7
8.71 24.6 22 4.5
9.41 24.3 25 4
10.01 24.6 22 4.5
10.02 23.5 36 5.4
10.93 5.8 54 5.8
11.06 21.5 15 0.9
11.24 13.9 59 6.3
11.32 22.6 38 3.6
11.53 21.6 33 2.2
12.1 12.4 54 3.6
13.05 8.8 68 2.2
13.7 20.2 37 2.7
13.99 15.1 64 4
14.57 22.1 34 1.8
15.45 22.9 31 7.2
17.2 20.7 37 2.2
19.23 19.6 33 6.3
23.41 23.2 26 4.9
24.23 18.4 25 3.1
26 5.1 96 5.8
26.13 20.1 47 4.9
27.35 11 46 5.8
28.66 17 27 4.9
28.66 17 27 4.9
29.48 16.9 60 1.3
30.32 12.4 73 6.3
31.72 19.4 19 1.3
31.86 15.2 27 3.1
32.07 16.2 59 3.1
35.88 18.6 49 3.6
36.85 11 46 5.8
37.02 13.4 79 3.6
37.71 15.4 57 4.5
48.55 22.9 39 4.9
49.37 16.1 44 4
58.3 20.1 34 4.5
64.1 28.3 26 3.1
71.3 16.4 43 4
88.49 26.4 21 4.5
95.18 27.8 27 3.1
103.39 18.7 43 2.7
105.66 24.3 36 3.1
154.88 17.7 25 3.1
196.48 19.6 41 5.8
200.94 18.2 46 1.8
212.88 18.8 40 2.2
1090.84 25.1 27 4
10.13 15.4 66 4
2.87 22.4 54 7.6
0.76 26.8 38 6.3
0.09 25.7 39 5.4
0.75 20.7 70 2.2
2.47 21.7 40 0.4
0.68 26.8 25 3.1
0.24 24 36 3.1
0.21 22.1 37 3.6
1.52 21.4 38 2.7
10.34 18.9 41 3.1
8.02 23.9 41 2.2
0.68 21.4 44 2.7
1.38 23.7 40 1.8
8.85 28.3 32 4
3.3 11.2 84 7.6
4.25 21.4 42 3.1
1.56 19.3 39 3.6
6.54 21.8 53 3.1
0.79 22.1 54 7.6
0.17 19.4 55 4
4.4 19.1 53 2.7
0.52 21.8 56 3.1
9.27 20.1 58 4.5
3.09 20.2 47 4
8.98 4.8 57 8.5
11.19 5.1 61 8
5.38 5.1 61 4.9
17.85 4.6 21 8.5
10.73 4.6 21 8.5
22.03 4.6 21 8.5
9.77 4.6 21 8.5
9.27 2.2 59 4.9
24.77 5.1 24 8.5
1.1 8.8 35 3.1
24.24 7.5 46 8
8 25.3 39 0.9
2.64 22.9 40 1.3
86.45 26.9 28 5.4
6.57 17.1 67 3.6
0.9 14.3 46 1.8
3.52 19.1 39 5.4
0.41 17.1 53 5.4
5.18 23.8 35 3.6
14.29 24.8 28 1.8
1.58 19.7 41 1.8
3.78 19.2 24 4.9
4.41 21.6 28 6.3
34.36 18.9 34 7.2
7.21 16.8 28 4
1.01 16.8 28 4
2.18 12.9 39 2.7
4.42 13.7 56 1.8
3.33 23.5 27 4
6.58 24.2 27 3.1
15.64 21.5 28 4.5
11.22 17.1 41 2.2
2.13 18.1 54 3.1
56.04 23 34 2.2
7.48 22.7 35 2.2
1.47 20.4 41 1.8
3.93 19.3 44 2.2
2.18 15.9 51 4.5
6.1 12.2 66 4.9
5.83 16.8 43 3.1
28.19 21.3 35 2.2
1.64 12.8 64 3.6
3.71 10.1 75 3.6
7.31 15.4 53 6.3
2.03 20.6 43 3.6
1.72 19.8 47 2.7
5.97 18.7 50 2.2
13.06 20.8 35 4.9
1.26 20.8 35 4.9
8.12 21.1 39 2.2
1.09 18.4 42 2.2
3.94 17.3 45 4
0.52 15.2 64 3.1
2.93 15.9 53 2.2
5.65 21.1 35 2.7
20.03 19.6 45 3.1
1.75 15.9 38 5.4
12.64 16.8 47 4.9
11.06 13.8 77 7.6
18.3 10.3 78 4
39.35 15.4 57 4.9
174.63 21.9 42 2.2
7.73 19.3 39 7.2
16.33 16.2 63 2.7
5.86 28.2 29 1.8
42.87 20.5 58 2.7
12.18 21.3 44 4.5
16 20.9 50 2.2
24.59 20.6 55 5.4
28.74 23.3 34 3.1
9.96 7.5 71 6.3
30.18 20.7 46 2.7
70.76 21.9 43 4
51.78 10.1 62 1.8
3.64 20.4 55 4.9
3.63 24.3 33 3.6
8.16 28 34 4.5
4.95 22.8 46 4
6.04 21.8 34 2.2
3.95 17 67 4.9
7.8 19.9 44 3.1
4.62 8.2 53 9.4
1.63 22.8 27 4.5
746.28 27.5 27 4.9
7.02 26.3 39 3.1
2.44 24.9 42 5.4
3.05 24.8 36 4
185.76 26.2 36 4.5
6.3 29.3 27 3.6
0.72 22.3 48 4
4.96 26.9 31 3.6
2.35 27.9 33 2.2
3.2 24.6 44 4
6.36 23.3 40 4
15.34 20.9 66 4.9
0.54 26.8 35 1.3
6.43 23.6 53 4
0.33 19.1 46 2.2
1.23 25.5 29 1.8
3.35 10.9 64 3.1
9.96 16.2 58 3.6
6.43 23.4 49 5.4
9.71 11.8 88 4.9
82.75 19.9 50 4
3.32 18.9 64 4.9
1.94 15.5 72 8
3.71 14.5 76 7.6
5.39 4.6 82 6.3
2.14 5.1 77 5.4
6.84 4.6 59 0.9
3.18 10.2 45 5.8
5.55 11.2 41 5.4
6.61 13.3 27 3.6
61.13 13.7 33 9.4
38.48 18 40 4
1.94 14.3 79 4
70.32 24.5 50 3.1
10.08 26.4 35 2.7
3.19 22.7 40 9.4
1.76 27.2 28 1.3
7.36 26.1 45 4
2.21 18.2 82 4.5
278.53 22.6 57 4.9
2.75 30.2 25 4.5
1.29 23.4 40 5.8
26.43 33.1 25 4
2.07 30.6 28 3.6
2 24.1 43 6.3
16.4 26.4 34 3.6
46.7 19.4 71 7.6
43.32 27.5 29 4.5
8.59 30.8 30 4.9
2.77 32.6 26 3.1
14.68 32.3 27 2.2
40.54 33.3 26 2.7
10.82 27.3 63 4.9
1.95 29.2 30 4.9
49.59 28.9 29 4.9
5.8 26.7 35 1.8
2.17 21.1 71 7.6
0.43 18.2 62 5.4
6.44 27.8 32 2.7
54.29 21.9 71 5.8
11.16 21.2 70 6.7
